onset	 duration	 events	
6	 2.000044e+01	 Familiar Faces	
46	 2.000035e+01	 Unfamiliar Faces	
86	 2.000057e+01	 Fourier	
126	 2.000035e+01	 Familiar Faces	
166	 2.000044e+01	 Familiar Faces	
206	 2.000048e+01	 Unfamiliar Faces	
246	 2.000067e+01	 Fourier	
286	 2.000038e+01	 Familiar Faces	
326	 2.000048e+01	 Familiar Faces	
366	 2.000058e+01	 Unfamiliar Faces	
406	 2.000053e+01	 Fourier	
446	 2.000049e+01	 Familiar Faces	
486	 2.000049e+01	 Familiar Faces	
526	 2.000058e+01	 Unfamiliar Faces	
566	 2.000039e+01	 Fourier	
606	 2.000045e+01	 Familiar Faces	
