onset	 duration	 events	
7.998005e+00	 2.000000e-01	 Unfamiliar	
9.981311e+00	 2.000000e-01	 Unfamiliar	
1.198128e+01	 2.000000e-01	 Unfamiliar	
1.598116e+01	 2.000000e-01	 Unfamiliar	
1.998121e+01	 2.000000e-01	 Unfamiliar	
2.399768e+01	 2.000000e-01	 Unfamiliar	
2.599763e+01	 2.000000e-01	 Unfamiliar	
2.799758e+01	 2.000000e-01	 Unfamiliar	
2.999756e+01	 2.000000e-01	 Incongruent	
3.199752e+01	 2.000000e-01	 Unknown	
3.599742e+01	 2.000000e-01	 Incongruent	
3.999735e+01	 2.000000e-01	 Unknown	
4.399724e+01	 2.000000e-01	 Incongruent	
4.599723e+01	 2.000000e-01	 Unknown	
4.799718e+01	 2.000000e-01	 Unfamiliar	
5.199710e+01	 2.000000e-01	 Unfamiliar	
