onset	 duration	 events	
7.977059e+00	 2.000000e-01	 Unfamiliar	
1.196030e+01	 2.000000e-01	 Unknown	
1.396024e+01	 2.000000e-01	 Unfamiliar	
1.596025e+01	 2.000000e-01	 Unfamiliar	
1.796017e+01	 2.000000e-01	 Incongruent	
1.996012e+01	 2.000000e-01	 Incongruent	
2.396004e+01	 2.000000e-01	 Incongruent	
2.596001e+01	 2.000000e-01	 Unknown	
2.796001e+01	 2.000000e-01	 Incongruent	
3.195990e+01	 2.000000e-01	 Unfamiliar	
3.595980e+01	 2.000000e-01	 Unfamiliar	
3.795977e+01	 2.000000e-01	 Incongruent	
4.195971e+01	 2.000000e-01	 Unfamiliar	
4.595959e+01	 2.000000e-01	 Unfamiliar	
4.795955e+01	 2.000000e-01	 Unfamiliar	
4.995957e+01	 2.000000e-01	 Unfamiliar	
