onset	 duration	 events	
7.989136e+00	 2.000000e-01	 Unfamiliar	
1.198908e+01	 2.000000e-01	 Unfamiliar	
1.598894e+01	 2.000000e-01	 Unknown	
1.798890e+01	 2.000000e-01	 Incongruent	
2.198883e+01	 2.000000e-01	 Unfamiliar	
2.598874e+01	 2.000000e-01	 Unfamiliar	
2.798868e+01	 2.000000e-01	 Unknown	
3.198857e+01	 2.000000e-01	 Congruent	
3.598846e+01	 2.000000e-01	 Unfamiliar	
3.798846e+01	 2.000000e-01	 Congruent	
4.198832e+01	 2.000000e-01	 Unfamiliar	
4.398826e+01	 2.000000e-01	 Congruent	
4.798818e+01	 2.000000e-01	 Unfamiliar	
4.998814e+01	 2.000000e-01	 Unfamiliar	
5.398803e+01	 2.000000e-01	 Congruent	
5.598798e+01	 2.000000e-01	 Unknown	
