onset	 duration	 events	
6	 2.000056e+01	 Familiar Faces	
46	 2.000040e+01	 Unfamiliar Faces	
86	 2.000037e+01	 Fourier	
126	 2.000039e+01	 Familiar Faces	
166	 2.000032e+01	 Familiar Faces	
206	 2.000050e+01	 Unfamiliar Faces	
246	 2.000030e+01	 Fourier	
286	 2.000045e+01	 Familiar Faces	
326	 2.000040e+01	 Familiar Faces	
366	 2.000040e+01	 Unfamiliar Faces	
406	 2.000053e+01	 Fourier	
446	 2.000055e+01	 Familiar Faces	
486	 2.000033e+01	 Familiar Faces	
526	 2.000031e+01	 Unfamiliar Faces	
566	 2.000050e+01	 Fourier	
606	 2.000053e+01	 Familiar Faces	
