onset	 duration	 events	
7.986471e+00	 2.000000e-01	 Unfamiliar	
1.198639e+01	 2.000000e-01	 Unknown	
1.398632e+01	 2.000000e-01	 Congruent	
1.798622e+01	 2.000000e-01	 Unfamiliar	
2.198616e+01	 2.000000e-01	 Unknown	
2.598603e+01	 2.000000e-01	 Unfamiliar	
2.798597e+01	 2.000000e-01	 Unfamiliar	
3.198588e+01	 2.000000e-01	 Unfamiliar	
3.398586e+01	 2.000000e-01	 Congruent	
3.598578e+01	 2.000000e-01	 Congruent	
3.798574e+01	 2.000000e-01	 Unfamiliar	
4.198563e+01	 2.000000e-01	 Unknown	
4.598553e+01	 2.000000e-01	 Unfamiliar	
4.998544e+01	 2.000000e-01	 Unfamiliar	
5.198540e+01	 2.000000e-01	 Unknown	
5.398536e+01	 2.000000e-01	 Congruent	
