onset	 duration	 events	
8.000412e+00	 2.000000e-01	 Unfamiliar	
1.198364e+01	 2.000000e-01	 Congruent	
1.398359e+01	 2.000000e-01	 Unfamiliar	
1.798350e+01	 2.000000e-01	 Congruent	
2.198341e+01	 2.000000e-01	 Unknown	
2.398334e+01	 2.000000e-01	 Unfamiliar	
2.598332e+01	 2.000000e-01	 Unfamiliar	
2.998322e+01	 2.000000e-01	 Congruent	
3.198316e+01	 2.000000e-01	 Unfamiliar	
3.598306e+01	 2.000000e-01	 Congruent	
3.798301e+01	 2.000000e-01	 Incongruent	
4.198289e+01	 2.000000e-01	 Unfamiliar	
4.398288e+01	 2.000000e-01	 Unfamiliar	
4.598281e+01	 2.000000e-01	 Congruent	
4.798275e+01	 2.000000e-01	 Incongruent	
4.998270e+01	 2.000000e-01	 Congruent	
