onset	 duration	 events	
7.965729e+00	 2.000000e-01	 Unfamiliar	
9.965727e+00	 2.000000e-01	 Unfamiliar	
1.196565e+01	 2.000000e-01	 Incongruent	
1.596559e+01	 2.000000e-01	 Congruent	
1.796554e+01	 2.000000e-01	 Unfamiliar	
1.996551e+01	 2.000000e-01	 Congruent	
2.396545e+01	 2.000000e-01	 Unfamiliar	
2.596545e+01	 2.000000e-01	 Incongruent	
2.796538e+01	 2.000000e-01	 Congruent	
2.996536e+01	 2.000000e-01	 Incongruent	
3.396528e+01	 2.000000e-01	 Unfamiliar	
3.796521e+01	 2.000000e-01	 Congruent	
4.196514e+01	 2.000000e-01	 Incongruent	
4.596507e+01	 2.000000e-01	 Unfamiliar	
4.796505e+01	 2.000000e-01	 Unfamiliar	
5.196498e+01	 2.000000e-01	 Incongruent	
