onset	 duration	 events	
7.999130e+00	 2.000000e-01	 Congruent	
1.198236e+01	 2.000000e-01	 Unfamiliar	
1.398230e+01	 2.000000e-01	 Congruent	
1.798227e+01	 2.000000e-01	 Unknown	
1.998219e+01	 2.000000e-01	 Congruent	
2.198219e+01	 2.000000e-01	 Congruent	
2.398212e+01	 2.000000e-01	 Unfamiliar	
2.598206e+01	 2.000000e-01	 Incongruent	
2.998199e+01	 2.000000e-01	 Unknown	
3.398189e+01	 2.000000e-01	 Congruent	
3.798182e+01	 2.000000e-01	 Unfamiliar	
4.198188e+01	 2.000000e-01	 Congruent	
4.399838e+01	 2.000000e-01	 Unfamiliar	
4.799830e+01	 2.000000e-01	 Incongruent	
4.999825e+01	 2.000000e-01	 Congruent	
5.199820e+01	 2.000000e-01	 Unfamiliar	
