onset	 duration	 events	
7.945706e+00	 2.000000e-01	 Unfamiliar	
9.928963e+00	 2.000000e-01	 Unfamiliar	
1.392885e+01	 2.000000e-01	 Congruent	
1.592882e+01	 2.000000e-01	 Unfamiliar	
1.792881e+01	 2.000000e-01	 Unknown	
1.992876e+01	 2.000000e-01	 Unknown	
2.192871e+01	 2.000000e-01	 Unknown	
2.592861e+01	 2.000000e-01	 Congruent	
2.992856e+01	 2.000000e-01	 Incongruent	
3.192851e+01	 2.000000e-01	 Unfamiliar	
3.592840e+01	 2.000000e-01	 Incongruent	
3.992834e+01	 2.000000e-01	 Incongruent	
4.392824e+01	 2.000000e-01	 Unfamiliar	
4.792817e+01	 2.000000e-01	 Unknown	
4.992814e+01	 2.000000e-01	 Unfamiliar	
5.392804e+01	 2.000000e-01	 Incongruent	
