onset	 duration	 events	
7.988120e+00	 2.000000e-01	 Unfamiliar	
9.988086e+00	 2.000000e-01	 Unfamiliar	
1.198804e+01	 2.000000e-01	 Unfamiliar	
1.598798e+01	 2.000000e-01	 Incongruent	
1.998790e+01	 2.000000e-01	 Unfamiliar	
2.398786e+01	 2.000000e-01	 Unfamiliar	
2.598780e+01	 2.000000e-01	 Unfamiliar	
2.798779e+01	 2.000000e-01	 Incongruent	
3.198772e+01	 2.000000e-01	 Unfamiliar	
3.598763e+01	 2.000000e-01	 Unfamiliar	
3.798762e+01	 2.000000e-01	 Unfamiliar	
4.198752e+01	 2.000000e-01	 Congruent	
4.398752e+01	 2.000000e-01	 Unfamiliar	
4.798744e+01	 2.000000e-01	 Unfamiliar	
4.998737e+01	 2.000000e-01	 Incongruent	
5.398731e+01	 2.000000e-01	 Unfamiliar	
