onset	 duration	 events	
7.982175e+00	 2.000000e-01	 Incongruent	
1.196542e+01	 2.000000e-01	 Congruent	
1.396537e+01	 2.000000e-01	 Unfamiliar	
1.596531e+01	 2.000000e-01	 Unfamiliar	
1.796533e+01	 2.000000e-01	 Incongruent	
1.996526e+01	 2.000000e-01	 Congruent	
2.396522e+01	 2.000000e-01	 Unfamiliar	
2.596515e+01	 2.000000e-01	 Unfamiliar	
2.996508e+01	 2.000000e-01	 Incongruent	
3.196503e+01	 2.000000e-01	 Unfamiliar	
3.596498e+01	 2.000000e-01	 Unfamiliar	
3.996491e+01	 2.000000e-01	 Congruent	
4.396481e+01	 2.000000e-01	 Unfamiliar	
4.596479e+01	 2.000000e-01	 Congruent	
4.796478e+01	 2.000000e-01	 Incongruent	
4.996474e+01	 2.000000e-01	 Unfamiliar	
