onset	 duration	 events	
7.985026e+00	 2.000000e-01	 Incongruent	
9.984992e+00	 2.000000e-01	 Unfamiliar	
1.198494e+01	 2.000000e-01	 Unfamiliar	
1.598483e+01	 2.000000e-01	 Unknown	
1.998470e+01	 2.000000e-01	 Incongruent	
2.198462e+01	 2.000000e-01	 Incongruent	
2.398455e+01	 2.000000e-01	 Congruent	
2.798444e+01	 2.000000e-01	 Incongruent	
3.198431e+01	 2.000000e-01	 Unfamiliar	
3.398425e+01	 2.000000e-01	 Unfamiliar	
3.798414e+01	 2.000000e-01	 Congruent	
3.998405e+01	 2.000000e-01	 Unfamiliar	
4.198400e+01	 2.000000e-01	 Unknown	
4.598387e+01	 2.000000e-01	 Unfamiliar	
4.798384e+01	 2.000000e-01	 Unfamiliar	
4.998376e+01	 2.000000e-01	 Congruent	
