onset	 duration	 events	
6	 2.200027e+01	 Familiar Faces	
48	 2.000033e+01	 Unfamiliar Faces	
88	 2.000041e+01	 Fourier	
128	 2.000013e+01	 Familiar Faces	
168	 2.000031e+01	 Familiar Faces	
208	 2.000039e+01	 Unfamiliar Faces	
248	 2.000030e+01	 Fourier	
288	 2.000041e+01	 Familiar Faces	
328	 2.000026e+01	 Familiar Faces	
368	 2.000029e+01	 Unfamiliar Faces	
408	 2.000025e+01	 Fourier	
448	 2.000043e+01	 Familiar Faces	
488	 2.000044e+01	 Familiar Faces	
528	 2.000024e+01	 Unfamiliar Faces	
568	 2.000038e+01	 Fourier	
608	 2.000016e+01	 Familiar Faces	
