onset	 duration	 events	
7.977241e+00	 2.000000e-01	 Congruent	
1.196045e+01	 2.000000e-01	 Congruent	
1.596034e+01	 2.000000e-01	 Congruent	
1.996019e+01	 2.000000e-01	 Unfamiliar	
2.396009e+01	 2.000000e-01	 Unfamiliar	
2.596001e+01	 2.000000e-01	 Congruent	
2.795996e+01	 2.000000e-01	 Unfamiliar	
3.195983e+01	 2.000000e-01	 Congruent	
3.595970e+01	 2.000000e-01	 Unfamiliar	
3.795969e+01	 2.000000e-01	 Congruent	
4.195951e+01	 2.000000e-01	 Congruent	
4.595941e+01	 2.000000e-01	 Unknown	
4.797601e+01	 2.000000e-01	 Unfamiliar	
5.197590e+01	 2.000000e-01	 Congruent	
5.597577e+01	 2.000000e-01	 Unfamiliar	
5.797570e+01	 2.000000e-01	 Congruent	
