onset	 duration	 events	
8.000998e+00	 2.000000e-01	 Unfamiliar	
1.198426e+01	 2.000000e-01	 Unfamiliar	
1.598420e+01	 2.000000e-01	 Incongruent	
1.998414e+01	 2.000000e-01	 Unfamiliar	
2.198408e+01	 2.000000e-01	 Incongruent	
2.398406e+01	 2.000000e-01	 Unfamiliar	
2.598402e+01	 2.000000e-01	 Unknown	
2.798400e+01	 2.000000e-01	 Unknown	
3.198393e+01	 2.000000e-01	 Incongruent	
3.598384e+01	 2.000000e-01	 Incongruent	
3.798381e+01	 2.000000e-01	 Unfamiliar	
3.998379e+01	 2.000000e-01	 Incongruent	
4.198375e+01	 2.000000e-01	 Unfamiliar	
4.598368e+01	 2.000000e-01	 Unfamiliar	
4.798364e+01	 2.000000e-01	 Congruent	
4.998360e+01	 2.000000e-01	 Unfamiliar	
