onset	 duration	 events	
7.995939e+00	 2.000000e-01	 Unfamiliar	
1.199587e+01	 2.000000e-01	 Congruent	
1.599581e+01	 2.000000e-01	 Congruent	
1.799577e+01	 2.000000e-01	 Unfamiliar	
2.199570e+01	 2.000000e-01	 Congruent	
2.399567e+01	 2.000000e-01	 Unfamiliar	
2.599562e+01	 2.000000e-01	 Unfamiliar	
2.799558e+01	 2.000000e-01	 Unfamiliar	
3.199551e+01	 2.000000e-01	 Incongruent	
3.399549e+01	 2.000000e-01	 Congruent	
3.799540e+01	 2.000000e-01	 Congruent	
3.999538e+01	 2.000000e-01	 Congruent	
4.399533e+01	 2.000000e-01	 Incongruent	
4.799527e+01	 2.000000e-01	 Unfamiliar	
4.999519e+01	 2.000000e-01	 Unfamiliar	
5.399518e+01	 2.000000e-01	 Unfamiliar	
