onset	 duration	 events	
6	 2.000038e+01	 Familiar Faces	
46	 2.000050e+01	 Unfamiliar Faces	
84	 2.000042e+01	 Fourier	
124	 2.000062e+01	 Familiar Faces	
164	 2.000055e+01	 Familiar Faces	
204	 2.000045e+01	 Unfamiliar Faces	
244	 2.000066e+01	 Fourier	
284	 2.000063e+01	 Familiar Faces	
324	 2.000051e+01	 Familiar Faces	
364	 2.000062e+01	 Unfamiliar Faces	
404	 2.000034e+01	 Fourier	
442	 2.000053e+01	 Familiar Faces	
480	 2.000045e+01	 Familiar Faces	
520	 2.000046e+01	 Unfamiliar Faces	
560	 2.000042e+01	 Fourier	
600	 2.000045e+01	 Familiar Faces	
