onset	 duration	 events	
7.990146e+00	 2.000000e-01	 Unfamiliar	
9.990091e+00	 2.000000e-01	 Unfamiliar	
1.398999e+01	 2.000000e-01	 Unfamiliar	
1.598996e+01	 2.000000e-01	 Incongruent	
1.998985e+01	 2.000000e-01	 Incongruent	
2.198982e+01	 2.000000e-01	 Unfamiliar	
2.398976e+01	 2.000000e-01	 Unknown	
2.598973e+01	 2.000000e-01	 Incongruent	
2.798968e+01	 2.000000e-01	 Congruent	
2.998960e+01	 2.000000e-01	 Unknown	
3.398952e+01	 2.000000e-01	 Incongruent	
3.598946e+01	 2.000000e-01	 Unfamiliar	
3.998934e+01	 2.000000e-01	 Congruent	
4.198931e+01	 2.000000e-01	 Unfamiliar	
4.398927e+01	 2.000000e-01	 Unknown	
4.598923e+01	 2.000000e-01	 Unfamiliar	
