onset	 duration	 events	
7.964616e+00	 2.000000e-01	 Unfamiliar	
1.196448e+01	 2.000000e-01	 Unknown	
1.396444e+01	 2.000000e-01	 Unfamiliar	
1.796434e+01	 2.000000e-01	 Unknown	
2.196423e+01	 2.000000e-01	 Unknown	
2.596413e+01	 2.000000e-01	 Congruent	
2.796410e+01	 2.000000e-01	 Congruent	
3.196400e+01	 2.000000e-01	 Incongruent	
3.596392e+01	 2.000000e-01	 Congruent	
3.796386e+01	 2.000000e-01	 Unknown	
4.196375e+01	 2.000000e-01	 Unfamiliar	
4.596368e+01	 2.000000e-01	 Unfamiliar	
4.996354e+01	 2.000000e-01	 Unfamiliar	
5.196351e+01	 2.000000e-01	 Unfamiliar	
5.396345e+01	 2.000000e-01	 Congruent	
5.596341e+01	 2.000000e-01	 Unknown	
