onset	 duration	 events	
7.962370e+00	 2.000000e-01	 Incongruent	
9.945656e+00	 2.000000e-01	 Congruent	
1.394553e+01	 2.000000e-01	 Unfamiliar	
1.594545e+01	 2.000000e-01	 Unfamiliar	
1.794543e+01	 2.000000e-01	 Congruent	
1.994533e+01	 2.000000e-01	 Incongruent	
2.394522e+01	 2.000000e-01	 Congruent	
2.594514e+01	 2.000000e-01	 Congruent	
2.994502e+01	 2.000000e-01	 Incongruent	
3.194495e+01	 2.000000e-01	 Unfamiliar	
3.394489e+01	 2.000000e-01	 Unfamiliar	
3.794478e+01	 2.000000e-01	 Congruent	
4.194465e+01	 2.000000e-01	 Incongruent	
4.594453e+01	 2.000000e-01	 Unfamiliar	
4.994449e+01	 2.000000e-01	 Unfamiliar	
5.396096e+01	 2.000000e-01	 Unfamiliar	
