onset	 duration	 events	
7.991676e+00	 2.000000e-01	 Unknown	
1.199157e+01	 2.000000e-01	 Incongruent	
1.599148e+01	 2.000000e-01	 Unfamiliar	
1.799143e+01	 2.000000e-01	 Unfamiliar	
2.199134e+01	 2.000000e-01	 Unfamiliar	
2.399128e+01	 2.000000e-01	 Incongruent	
2.599124e+01	 2.000000e-01	 Unknown	
2.799119e+01	 2.000000e-01	 Incongruent	
3.199107e+01	 2.000000e-01	 Unfamiliar	
3.599099e+01	 2.000000e-01	 Unfamiliar	
3.799092e+01	 2.000000e-01	 Unfamiliar	
4.199084e+01	 2.000000e-01	 Unfamiliar	
4.599075e+01	 2.000000e-01	 Unknown	
4.999064e+01	 2.000000e-01	 Unfamiliar	
5.199061e+01	 2.000000e-01	 Congruent	
5.399054e+01	 2.000000e-01	 Congruent	
