onset	 duration	 events	
7.993190e+00	 2.000000e-01	 Congruent	
1.199305e+01	 2.000000e-01	 Unknown	
1.599295e+01	 2.000000e-01	 Unfamiliar	
1.999285e+01	 2.000000e-01	 Congruent	
2.399277e+01	 2.000000e-01	 Congruent	
2.799266e+01	 2.000000e-01	 Unfamiliar	
2.999264e+01	 2.000000e-01	 Unfamiliar	
3.399251e+01	 2.000000e-01	 Unfamiliar	
3.599248e+01	 2.000000e-01	 Unfamiliar	
3.799245e+01	 2.000000e-01	 Unknown	
3.999238e+01	 2.000000e-01	 Unfamiliar	
4.399227e+01	 2.000000e-01	 Congruent	
4.599226e+01	 2.000000e-01	 Unknown	
4.799220e+01	 2.000000e-01	 Unknown	
5.199209e+01	 2.000000e-01	 Unknown	
5.599198e+01	 2.000000e-01	 Incongruent	
