onset	 duration	 events	
7.998940e+00	 2.000000e-01	 Congruent	
9.982245e+00	 2.000000e-01	 Unfamiliar	
1.198221e+01	 2.000000e-01	 Unfamiliar	
1.398213e+01	 2.000000e-01	 Incongruent	
1.598209e+01	 2.000000e-01	 Unfamiliar	
1.998201e+01	 2.000000e-01	 Incongruent	
2.398193e+01	 2.000000e-01	 Unfamiliar	
2.798181e+01	 2.000000e-01	 Unfamiliar	
2.998175e+01	 2.000000e-01	 Unfamiliar	
3.198172e+01	 2.000000e-01	 Congruent	
3.398176e+01	 2.000000e-01	 Incongruent	
3.599829e+01	 2.000000e-01	 Congruent	
3.999818e+01	 2.000000e-01	 Congruent	
4.399807e+01	 2.000000e-01	 Unfamiliar	
4.799799e+01	 2.000000e-01	 Congruent	
4.999792e+01	 2.000000e-01	 Incongruent	
