onset	 duration	 events	
7.979013e+00	 2.000000e-01	 Unfamiliar	
9.962300e+00	 2.000000e-01	 Incongruent	
1.396214e+01	 2.000000e-01	 Congruent	
1.596208e+01	 2.000000e-01	 Unfamiliar	
1.996197e+01	 2.000000e-01	 Unfamiliar	
2.196190e+01	 2.000000e-01	 Incongruent	
2.596179e+01	 2.000000e-01	 Unfamiliar	
2.796173e+01	 2.000000e-01	 Unfamiliar	
3.196161e+01	 2.000000e-01	 Unfamiliar	
3.596146e+01	 2.000000e-01	 Congruent	
3.796140e+01	 2.000000e-01	 Unfamiliar	
3.996136e+01	 2.000000e-01	 Unknown	
4.196127e+01	 2.000000e-01	 Unfamiliar	
4.596117e+01	 2.000000e-01	 Incongruent	
4.796111e+01	 2.000000e-01	 Incongruent	
5.196097e+01	 2.000000e-01	 Congruent	
