onset	 duration	 events	
7.986610e+00	 2.000000e-01	 Incongruent	
1.198650e+01	 2.000000e-01	 Incongruent	
1.398647e+01	 2.000000e-01	 Incongruent	
1.798630e+01	 2.000000e-01	 Unfamiliar	
1.998625e+01	 2.000000e-01	 Incongruent	
2.398612e+01	 2.000000e-01	 Unfamiliar	
2.798602e+01	 2.000000e-01	 Unfamiliar	
3.198588e+01	 2.000000e-01	 Unfamiliar	
3.398582e+01	 2.000000e-01	 Unfamiliar	
3.798569e+01	 2.000000e-01	 Unfamiliar	
3.998564e+01	 2.000000e-01	 Congruent	
4.198558e+01	 2.000000e-01	 Unfamiliar	
4.598544e+01	 2.000000e-01	 Unfamiliar	
4.798540e+01	 2.000000e-01	 Unknown	
4.998532e+01	 2.000000e-01	 Unfamiliar	
5.198526e+01	 2.000000e-01	 Unfamiliar	
