onset	 duration	 events	
7.965539e+00	 2.000000e-01	 Congruent	
1.196543e+01	 2.000000e-01	 Unfamiliar	
1.596538e+01	 2.000000e-01	 Unfamiliar	
1.796528e+01	 2.000000e-01	 Congruent	
1.996525e+01	 2.000000e-01	 Congruent	
2.396515e+01	 2.000000e-01	 Congruent	
2.796509e+01	 2.000000e-01	 Incongruent	
2.996503e+01	 2.000000e-01	 Unfamiliar	
3.196495e+01	 2.000000e-01	 Unfamiliar	
3.396490e+01	 2.000000e-01	 Incongruent	
3.796481e+01	 2.000000e-01	 Unfamiliar	
3.996478e+01	 2.000000e-01	 Incongruent	
4.396469e+01	 2.000000e-01	 Unfamiliar	
4.596462e+01	 2.000000e-01	 Congruent	
4.996451e+01	 2.000000e-01	 Congruent	
5.396442e+01	 2.000000e-01	 Congruent	
