onset	 duration	 events	
7.992631e+00	 2.000000e-01	 Unfamiliar	
9.992585e+00	 2.000000e-01	 Incongruent	
1.199255e+01	 2.000000e-01	 Unfamiliar	
1.599243e+01	 2.000000e-01	 Unfamiliar	
1.799239e+01	 2.000000e-01	 Unfamiliar	
2.199233e+01	 2.000000e-01	 Incongruent	
2.599222e+01	 2.000000e-01	 Congruent	
2.799215e+01	 2.000000e-01	 Unfamiliar	
3.199205e+01	 2.000000e-01	 Unfamiliar	
3.399199e+01	 2.000000e-01	 Unfamiliar	
3.599196e+01	 2.000000e-01	 Incongruent	
3.799192e+01	 2.000000e-01	 Unfamiliar	
4.199184e+01	 2.000000e-01	 Unfamiliar	
4.599174e+01	 2.000000e-01	 Unfamiliar	
4.999163e+01	 2.000000e-01	 Congruent	
5.399154e+01	 2.000000e-01	 Unfamiliar	
