onset	 duration	 events	
6	 2.000029e+01	 Familiar Faces	
46	 2.000030e+01	 Unfamiliar Faces	
86	 2.000030e+01	 Fourier	
126	 2.000047e+01	 Familiar Faces	
166	 2.000044e+01	 Familiar Faces	
206	 2.000042e+01	 Unfamiliar Faces	
246	 2.000036e+01	 Fourier	
286	 2.000043e+01	 Familiar Faces	
326	 2.000049e+01	 Familiar Faces	
366	 2.000031e+01	 Unfamiliar Faces	
406	 2.000051e+01	 Fourier	
446	 2.000036e+01	 Familiar Faces	
486	 2.000048e+01	 Familiar Faces	
526	 2.000036e+01	 Unfamiliar Faces	
566	 2.000036e+01	 Fourier	
606	 2.000043e+01	 Familiar Faces	
