onset	 duration	 events	
7.998873e+00	 2.000000e-01	 Unfamiliar	
9.982148e+00	 2.000000e-01	 Unfamiliar	
1.198211e+01	 2.000000e-01	 Unfamiliar	
1.598200e+01	 2.000000e-01	 Unfamiliar	
1.798199e+01	 2.000000e-01	 Incongruent	
2.198188e+01	 2.000000e-01	 Incongruent	
2.598181e+01	 2.000000e-01	 Congruent	
2.998176e+01	 2.000000e-01	 Incongruent	
3.398167e+01	 2.000000e-01	 Congruent	
3.798154e+01	 2.000000e-01	 Unfamiliar	
3.998152e+01	 2.000000e-01	 Unfamiliar	
4.398149e+01	 2.000000e-01	 Incongruent	
4.798148e+01	 2.000000e-01	 Unfamiliar	
4.998143e+01	 2.000000e-01	 Incongruent	
5.199794e+01	 2.000000e-01	 Unfamiliar	
5.399790e+01	 2.000000e-01	 Unfamiliar	
