onset	 duration	 events	
7.989790e+00	 2.000000e-01	 Incongruent	
9.989748e+00	 2.000000e-01	 Unfamiliar	
1.198972e+01	 2.000000e-01	 Congruent	
1.598964e+01	 2.000000e-01	 Incongruent	
1.998953e+01	 2.000000e-01	 Congruent	
2.398946e+01	 2.000000e-01	 Incongruent	
2.798937e+01	 2.000000e-01	 Incongruent	
2.998933e+01	 2.000000e-01	 Unfamiliar	
3.198930e+01	 2.000000e-01	 Unfamiliar	
3.398925e+01	 2.000000e-01	 Unfamiliar	
3.798918e+01	 2.000000e-01	 Congruent	
3.998912e+01	 2.000000e-01	 Incongruent	
4.398906e+01	 2.000000e-01	 Incongruent	
4.598900e+01	 2.000000e-01	 Unfamiliar	
4.998891e+01	 2.000000e-01	 Congruent	
5.198888e+01	 2.000000e-01	 Incongruent	
