onset	 duration	 events	
6	 2.000051e+01	 Familiar Faces	
46	 2.000068e+01	 Unfamiliar Faces	
86	 2.000046e+01	 Fourier	
126	 2.000046e+01	 Familiar Faces	
166	 2.000050e+01	 Familiar Faces	
206	 2.000048e+01	 Unfamiliar Faces	
246	 2.000043e+01	 Fourier	
286	 2.000052e+01	 Familiar Faces	
326	 2.000042e+01	 Familiar Faces	
366	 2.000051e+01	 Unfamiliar Faces	
406	 2.000049e+01	 Fourier	
444	 2.000049e+01	 Familiar Faces	
484	 2.000045e+01	 Familiar Faces	
524	 2.000058e+01	 Unfamiliar Faces	
564	 2.000062e+01	 Fourier	
602	 2.000059e+01	 Familiar Faces	
