onset	 duration	 events	
6	 2.000053e+01	 Familiar Faces	
46	 2.000045e+01	 Unfamiliar Faces	
86	 2.000043e+01	 Fourier	
126	 2.000063e+01	 Familiar Faces	
166	 2.000063e+01	 Familiar Faces	
204	 2.000057e+01	 Unfamiliar Faces	
244	 2.000057e+01	 Fourier	
284	 2.000063e+01	 Familiar Faces	
322	 2.000056e+01	 Familiar Faces	
360	 2.000045e+01	 Unfamiliar Faces	
398	 2.000046e+01	 Fourier	
438	 2.000057e+01	 Familiar Faces	
478	 2.000057e+01	 Familiar Faces	
518	 2.000040e+01	 Unfamiliar Faces	
558	 2.000056e+01	 Fourier	
598	 2.000045e+01	 Familiar Faces	
