onset	 duration	 events	
6	 2.000049e+01	 Familiar Faces	
46	 2.000050e+01	 Unfamiliar Faces	
86	 2.000047e+01	 Fourier	
126	 2.000053e+01	 Familiar Faces	
166	 2.000045e+01	 Familiar Faces	
206	 2.000044e+01	 Unfamiliar Faces	
246	 2.038043e+01	 Fourier	
286	 2.000053e+01	 Familiar Faces	
324	 2.000045e+01	 Familiar Faces	
362	 2.000060e+01	 Unfamiliar Faces	
402	 2.000053e+01	 Fourier	
442	 2.000046e+01	 Familiar Faces	
482	 2.000051e+01	 Familiar Faces	
522	 2.000047e+01	 Unfamiliar Faces	
562	 2.000061e+01	 Fourier	
602	 2.000046e+01	 Familiar Faces	
