onset	 duration	 events	
7.995347e+00	 2.000000e-01	 Unfamiliar	
1.199529e+01	 2.000000e-01	 Unfamiliar	
1.399524e+01	 2.000000e-01	 Congruent	
1.599522e+01	 2.000000e-01	 Unfamiliar	
1.999512e+01	 2.000000e-01	 Unfamiliar	
2.399505e+01	 2.000000e-01	 Congruent	
2.799495e+01	 2.000000e-01	 Unfamiliar	
3.199488e+01	 2.000000e-01	 Incongruent	
3.599478e+01	 2.000000e-01	 Congruent	
3.799475e+01	 2.000000e-01	 Unfamiliar	
3.999472e+01	 2.000000e-01	 Unfamiliar	
4.199468e+01	 2.000000e-01	 Congruent	
4.399465e+01	 2.000000e-01	 Unfamiliar	
4.599459e+01	 2.000000e-01	 Congruent	
4.999449e+01	 2.000000e-01	 Congruent	
5.199444e+01	 2.000000e-01	 Unfamiliar	
