onset	 duration	 events	
7.988258e+00	 2.000000e-01	 Congruent	
9.988194e+00	 2.000000e-01	 Unfamiliar	
1.198815e+01	 2.000000e-01	 Congruent	
1.598809e+01	 2.000000e-01	 Unfamiliar	
1.998795e+01	 2.000000e-01	 Incongruent	
2.398785e+01	 2.000000e-01	 Unfamiliar	
2.798779e+01	 2.000000e-01	 Incongruent	
3.198769e+01	 2.000000e-01	 Unfamiliar	
3.398762e+01	 2.000000e-01	 Unfamiliar	
3.598756e+01	 2.000000e-01	 Unfamiliar	
3.998747e+01	 2.000000e-01	 Unfamiliar	
4.198744e+01	 2.000000e-01	 Unfamiliar	
4.398741e+01	 2.000000e-01	 Unfamiliar	
4.598732e+01	 2.000000e-01	 Unfamiliar	
4.998726e+01	 2.000000e-01	 Congruent	
5.398714e+01	 2.000000e-01	 Unfamiliar	
