onset	 duration	 events	
7.968871e+00	 2.000000e-01	 Unfamiliar	
9.968815e+00	 2.000000e-01	 Unfamiliar	
1.396874e+01	 2.000000e-01	 Unfamiliar	
1.796862e+01	 2.000000e-01	 Unfamiliar	
2.196851e+01	 2.000000e-01	 Congruent	
2.396848e+01	 2.000000e-01	 Unfamiliar	
2.596841e+01	 2.000000e-01	 Incongruent	
2.796836e+01	 2.000000e-01	 Unfamiliar	
2.996832e+01	 2.000000e-01	 Congruent	
3.396824e+01	 2.000000e-01	 Unfamiliar	
3.796812e+01	 2.000000e-01	 Unfamiliar	
4.196805e+01	 2.000000e-01	 Unfamiliar	
4.596798e+01	 2.000000e-01	 Unfamiliar	
4.796791e+01	 2.000000e-01	 Unfamiliar	
4.996785e+01	 2.000000e-01	 Unfamiliar	
5.396776e+01	 2.000000e-01	 Unfamiliar	
