onset	 duration	 events	
6	 2.000054e+01	 Familiar Faces	
44	 2.000054e+01	 Unfamiliar Faces	
84	 2.000044e+01	 Fourier	
124	 2.000059e+01	 Familiar Faces	
161	 2.101917e+01	 Familiar Faces	
202	 2.000068e+01	 Unfamiliar Faces	
242	 2.000058e+01	 Fourier	
282	 2.000045e+01	 Familiar Faces	
318	 2.041551e+01	 Familiar Faces	
357	 2.125808e+01	 Unfamiliar Faces	
398	 2.000042e+01	 Fourier	
438	 2.000057e+01	 Familiar Faces	
478	 2.000040e+01	 Familiar Faces	
518	 2.000053e+01	 Unfamiliar Faces	
558	 2.000049e+01	 Fourier	
598	 2.000060e+01	 Familiar Faces	
