onset	 duration	 events	
7.972118e+00	 2.000000e-01	 Unknown	
1.195538e+01	 2.000000e-01	 Congruent	
1.595529e+01	 2.000000e-01	 Congruent	
1.795524e+01	 2.000000e-01	 Unfamiliar	
1.995520e+01	 2.000000e-01	 Unfamiliar	
2.395512e+01	 2.000000e-01	 Unfamiliar	
2.795504e+01	 2.000000e-01	 Unfamiliar	
3.195494e+01	 2.000000e-01	 Congruent	
3.395491e+01	 2.000000e-01	 Congruent	
3.795486e+01	 2.000000e-01	 Congruent	
4.195475e+01	 2.000000e-01	 Incongruent	
4.595466e+01	 2.000000e-01	 Unfamiliar	
4.795463e+01	 2.000000e-01	 Unfamiliar	
5.195459e+01	 2.000000e-01	 Unfamiliar	
5.595449e+01	 2.000000e-01	 Unfamiliar	
5.795443e+01	 2.000000e-01	 Unfamiliar	
