onset	 duration	 events	
7.998846e+00	 2.000000e-01	 Unfamiliar	
1.198209e+01	 2.000000e-01	 Incongruent	
1.398210e+01	 2.000000e-01	 Unfamiliar	
1.798198e+01	 2.000000e-01	 Incongruent	
1.998196e+01	 2.000000e-01	 Unfamiliar	
2.198189e+01	 2.000000e-01	 Unfamiliar	
2.598180e+01	 2.000000e-01	 Congruent	
2.998174e+01	 2.000000e-01	 Incongruent	
3.198167e+01	 2.000000e-01	 Unfamiliar	
3.398164e+01	 2.000000e-01	 Incongruent	
3.798158e+01	 2.000000e-01	 Unfamiliar	
3.998156e+01	 2.000000e-01	 Congruent	
4.398157e+01	 2.000000e-01	 Congruent	
4.799804e+01	 2.000000e-01	 Incongruent	
5.199798e+01	 2.000000e-01	 Congruent	
5.399790e+01	 2.000000e-01	 Unfamiliar	
