onset	 duration	 events	
7.984803e+00	 2.000000e-01	 Congruent	
1.198457e+01	 2.000000e-01	 Unknown	
1.398448e+01	 2.000000e-01	 Unfamiliar	
1.598444e+01	 2.000000e-01	 Incongruent	
1.998430e+01	 2.000000e-01	 Unfamiliar	
2.198424e+01	 2.000000e-01	 Incongruent	
2.598413e+01	 2.000000e-01	 Unfamiliar	
2.798407e+01	 2.000000e-01	 Unfamiliar	
3.198394e+01	 2.000000e-01	 Unfamiliar	
3.598382e+01	 2.000000e-01	 Unfamiliar	
3.798374e+01	 2.000000e-01	 Unfamiliar	
3.998367e+01	 2.000000e-01	 Unfamiliar	
4.398356e+01	 2.000000e-01	 Incongruent	
4.598350e+01	 2.000000e-01	 Unfamiliar	
4.998338e+01	 2.000000e-01	 Incongruent	
5.198330e+01	 2.000000e-01	 Congruent	
