onset	 duration	 events	
7.990231e+00	 2.000000e-01	 Unfamiliar	
1.199015e+01	 2.000000e-01	 Incongruent	
1.599006e+01	 2.000000e-01	 Congruent	
1.799001e+01	 2.000000e-01	 Unfamiliar	
2.198991e+01	 2.000000e-01	 Unfamiliar	
2.398986e+01	 2.000000e-01	 Congruent	
2.798976e+01	 2.000000e-01	 Unfamiliar	
3.198966e+01	 2.000000e-01	 Unfamiliar	
3.598953e+01	 2.000000e-01	 Unfamiliar	
3.998947e+01	 2.000000e-01	 Unfamiliar	
4.398935e+01	 2.000000e-01	 Unfamiliar	
4.798927e+01	 2.000000e-01	 Incongruent	
4.998922e+01	 2.000000e-01	 Unfamiliar	
5.198917e+01	 2.000000e-01	 Unfamiliar	
5.398912e+01	 2.000000e-01	 Incongruent	
5.798903e+01	 2.000000e-01	 Unfamiliar	
